template_name,card_name,record_type,question_label,question_data_name,question_input_type,function_name,function_body,function_args
Ironing & Laundry Shop,laundry outlook,Question,"What type of machine do you have?    Small (Home type), Medium, Large (Commercial Type)",laundryMachineType,text,,,[]
Ironing & Laundry Shop,laundry outlook,Question,How many dryers do you have?,dryerCount,number,,,[]
Ironing & Laundry Shop,laundry outlook,Question,How many clothes can you wash in one go? ( Enter estimate in kg or number of clothes ),clothAmt,text,,,[]
Ironing & Laundry Shop,laundry outlook,Question,Ownership of Machines?,laundryMachineOwnership,radio,,,[]
Ironing & Laundry Shop,dry cleaning Outlook,Question,How many dry cleaning machines do you have?,drycleaningMachineCount,number,,,[]
Ironing & Laundry Shop,dry cleaning Outlook,Question,What type of cleaning do you do?,drycleaningMachineType,radio,,,[]
Ironing & Laundry Shop,dry cleaning Outlook,Question,What cleaning material do you use?,chemicalType,text,,,[]
Ironing & Laundry Shop,dry cleaning Outlook,Question,Ownership of machines?,machineOwnership,radio,,,[]
Mobile Shop,1- Basic Details,Question,Name of the Business,businessName,text,,,[]
Mobile Shop,1- Basic Details,Question,Since How long the household is involved in this business activity?,occVintage,number,,,[]
Mobile Shop,1- Basic Details,Question,Where is the business operated from?,typeOfBusinessLoc,radio,,,[]
Mobile Shop,1- Basic Details,Question,Distance of Business Place from the Residence (KM),businessPremiseDistanceFromResidence,number,,,[]
Mobile Shop,1- Basic Details,Question,Ownership of Business Place,businessPremiseOwnership,radio,,,[]
Mobile Shop,1- Basic Details,Question,Size of the Business Premise (Sq Ft),businessPremiseSize,number,,,[]
Mobile Shop,2.1 Owned,Question,Is Address on Ownership Proof Matching with Current Address?,isAddressMatch,radio,,,[]
Mobile Shop,2.1 Owned,Question,Name of the Owner,ownerName,text,,,[]
Mobile Shop,2.1 Owned,Question,Relationship with Borrower,ownershipRelationship,select,,,[]
Mobile Shop,2.2 Rented,Question,Rent Amount,rentAmount,number,,,[]
Mobile Shop,2.3 Leased ,Question,Remaining Lease Period,leasePeriod,number,,,[]
Mobile Shop,3 Business Location,Function Definition,,,,isValidPinCode,"if (typeof window[""isValid""] === ""undefined"" || window[""isValid""] == null) {
    return { message: """", display: ""none"" }
  }
  if (window[""isValid""]) {
    const elements = [
              ""element-f11d8417-29a8-459b-b3ef-3b203a2cf188"",
              ""element-d29f1628-ad00-4eb9-b72b-d77259543ade"",
              ""element-f503870f-a1b3-4238-95df-25b860c2b61e""
            ]
    elements.forEach(id => {
      const element = document.getElementById(id);
      if (element) {
        element.dispatchEvent(new Event(""input""));
      } else {
        console.warn(`Element with id ${id} not found.`);
      }
    })
    return { message: """", display: ""none"" }
  }
  return { message: ""Pincode doesn't exists!"", display: ""flex"" }","[""""]"
Mobile Shop,3 Business Location,Question,Address Line 1,addressLine1,textArea,,,[]
Mobile Shop,3 Business Location,Question,Address Line 2,addressLine2,textArea,,,[]
Mobile Shop,3 Business Location,Question,Address Line 3,addressLine3,textArea,,,[]
Mobile Shop,3 Business Location,Question,Enter Pincode,pincode,text,,,[]
Mobile Shop,3 Business Location,Question,City,city,text,,,[]
Mobile Shop,3 Business Location,Question,State,state,text,,,[]
Mobile Shop,3 Business Location,Question,District,district,text,,,[]
Mobile Shop,3 Business Location,Question,Name of the Document Provided for Business Address Proof ,businessAddressProodDocName,text,,,[]
Mobile Shop,3 Business Location,Question,Landmark around Business Location,businessPremiseLandmark,text,,,[]
Mobile Shop,6 Reference,Question,Reference 1 Name,reference1Name,text,,,[]
